Test log file
2025-08-28 13:22:58,117 - INFO - Initialization successful.
2025-08-28 13:22:58,117 - INFO - Camera now open.
2025-08-28 13:22:58,120 - INFO - Camera configuration has been adjusted!
2025-08-28 13:22:58,121 - INFO - Configuration successful!
2025-08-28 13:22:59,641 - INFO - Camera started
2025-08-28 13:22:59,689 - INFO - ['359.50', '-0.56', '-2.56', '359.50', '-0.56', '-2.56', '359.50', '-0.56', '-2.56', '21', '93', '48228', '55', '6412', '-3411', '0', '3', '0', '0', '']
2025-08-28 13:23:01,318 - INFO - ['359.44', '-1.00', '-2.44', '359.44', '-1.00', '-2.44', '359.44', '-1.00', '-2.44', '20', '94', '48228', '34', '6412', '-4814', '0', '3', '0', '0', '']
2025-08-28 13:23:01,375 - INFO - ['359.69', '-1.00', '-2.50', '359.69', '-1.00', '-2.50', '359.69', '-1.00', '-2.50', '20', '93', '48228', '35', '6412', '-4881', '0', '3', '0', '0', '']
2025-08-28 13:23:01,434 - INFO - ['359.56', '-1.00', '-2.56', '359.56', '-1.00', '-2.56', '359.56', '-1.00', '-2.56', '20', '93', '48228', '35', '6412', '-4949', '0', '3', '0', '0', '']
2025-08-28 13:23:01,492 - INFO - ['359.38', '-0.94', '-2.56', '359.38', '-0.94', '-2.56', '359.38', '-0.94', '-2.56', '20', '94', '48228', '34', '6412', '-5018', '0', '3', '0', '0', '']
2025-08-28 13:23:01,551 - INFO - ['359.25', '-0.88', '-2.56', '359.25', '-0.88', '-2.56', '359.25', '-0.88', '-2.56', '21', '93', '48228', '35', '6412', '-5087', '0', '3', '0', '0', '']
2025-08-28 13:23:01,609 - INFO - ['359.19', '-0.81', '-2.56', '359.19', '-0.81', '-2.56', '359.19', '-0.81', '-2.56', '21', '93', '48228', '38', '6412', '-5156', '0', '3', '0', '0', '']
2025-08-28 13:23:01,668 - INFO - ['359.31', '-0.63', '-2.56', '359.31', '-0.63', '-2.56', '359.31', '-0.63', '-2.56', '20', '94', '48228', '38', '6412', '-5222', '0', '3', '0', '0', '']
2025-08-28 13:23:01,727 - INFO - ['359.38', '-0.44', '-2.56', '359.38', '-0.44', '-2.56', '359.38', '-0.44', '-2.56', '21', '93', '48228', '38', '6412', '-5289', '0', '3', '0', '0', '']
2025-08-28 13:23:01,786 - INFO - ['359.50', '-0.25', '-2.56', '359.50', '-0.25', '-2.56', '359.50', '-0.25', '-2.56', '22', '94', '48228', '38', '6412', '-5358', '0', '3', '0', '0', '']
2025-08-28 13:23:01,844 - INFO - ['359.63', '-0.13', '-2.56', '359.63', '-0.13', '-2.56', '359.63', '-0.13', '-2.56', '20', '95', '48228', '38', '6412', '-5428', '0', '3', '0', '0', '']
2025-08-28 13:23:01,902 - INFO - ['359.75', '0.00', '-2.56', '359.75', '0.00', '-2.56', '359.75', '0.00', '-2.56', '20', '93', '48228', '38', '6412', '-5497', '0', '3', '0', '0', '']
2025-08-28 13:23:01,961 - INFO - ['359.88', '0.00', '-2.56', '359.88', '0.00', '-2.56', '359.88', '0.00', '-2.56', '21', '94', '48228', '39', '6412', '-5569', '0', '3', '0', '0', '']
2025-08-28 13:23:02,022 - INFO - ['0.00', '-0.38', '-2.56', '0.00', '-0.38', '-2.56', '0.00', '-0.38', '-2.56', '22', '96', '48228', '39', '6412', '-5640', '0', '3', '0', '0', '']
2025-08-28 13:23:02,127 - INFO - ['359.94', '0.25', '-2.56', '359.94', '0.25', '-2.56', '359.94', '0.25', '-2.56', '17', '92', '48228', '36', '6412', '-5765', '0', '3', '0', '0', '']
2025-08-28 13:23:02,237 - INFO - ['359.94', '0.50', '-2.56', '359.94', '0.50', '-2.56', '359.94', '0.50', '-2.56', '21', '93', '48228', '37', '6412', '-5886', '0', '3', '0', '0', '']
2025-08-28 13:23:02,335 - INFO - ['359.94', '-0.19', '-2.56', '359.94', '-0.19', '-2.56', '359.94', '-0.19', '-2.56', '21', '94', '48228', '39', '6412', '-6010', '0', '3', '0', '0', '']
2025-08-28 13:23:02,394 - INFO - ['359.88', '-0.06', '-2.56', '359.88', '-0.06', '-2.56', '359.88', '-0.06', '-2.56', '20', '94', '48228', '37', '6412', '-6079', '0', '3', '0', '0', '']
2025-08-28 13:23:02,452 - INFO - ['359.88', '-0.06', '-2.56', '359.88', '-0.06', '-2.56', '359.88', '-0.06', '-2.56', '21', '94', '48228', '38', '6412', '-6151', '0', '3', '0', '0', '']
2025-08-28 13:23:02,514 - INFO - ['359.88', '-0.50', '-2.56', '359.88', '-0.50', '-2.56', '359.88', '-0.50', '-2.56', '21', '93', '48228', '39', '6412', '-6224', '0', '3', '0', '0', '']
2025-08-28 13:23:02,571 - INFO - ['359.81', '-0.81', '-2.56', '359.81', '-0.81', '-2.56', '359.81', '-0.81', '-2.56', '20', '93', '48228', '39', '6412', '-6296', '0', '3', '0', '0', '']
2025-08-28 13:23:02,628 - INFO - ['359.81', '-0.94', '-2.56', '359.81', '-0.94', '-2.56', '359.81', '-0.94', '-2.56', '20', '93', '48228', '35', '6412', '-6365', '0', '3', '0', '0', '']
2025-08-28 13:23:02,687 - INFO - ['359.81', '-1.06', '-2.56', '359.81', '-1.06', '-2.56', '359.81', '-1.06', '-2.56', '20', '93', '48228', '35', '6412', '-6432', '0', '3', '0', '0', '']
2025-08-28 13:23:02,745 - INFO - ['359.81', '-1.06', '-2.56', '359.81', '-1.06', '-2.56', '359.81', '-1.06', '-2.56', '20', '93', '48228', '34', '6412', '-6499', '0', '3', '0', '0', '']
2025-08-28 13:23:02,804 - INFO - ['359.81', '-1.06', '-2.56', '359.81', '-1.06', '-2.56', '359.81', '-1.06', '-2.56', '20', '94', '48228', '34', '6412', '-6568', '0', '3', '0', '0', '']
2025-08-28 13:23:02,863 - INFO - ['359.81', '-1.06', '-2.56', '359.81', '-1.06', '-2.56', '359.81', '-1.06', '-2.56', '20', '93', '48228', '33', '6412', '-6637', '0', '3', '0', '0', '']
2025-08-28 13:23:02,921 - INFO - ['359.81', '-1.13', '-2.56', '359.81', '-1.13', '-2.56', '359.81', '-1.13', '-2.56', '20', '94', '48228', '34', '6412', '-6706', '0', '3', '0', '0', '']
