2025-08-28 15:39:54,835 - INFO - Camera configuration has been adjusted!
2025-08-28 15:39:54,837 - INFO - Configuration successful!
2025-08-28 15:39:56,357 - INFO - Camera started
2025-08-28 15:40:00,446 - INFO - ['17.00', '-3.88', '-2.31', '17.00', '-3.88', '-2.31', '17.00', '-3.88', '-2.31', '60', '49', '48228', '42', '6412', '-858', '0', '3', '0', '0', '']
2025-08-28 15:40:00,504 - INFO - ['16.75', '-3.81', '-2.31', '16.75', '-3.81', '-2.31', '16.75', '-3.81', '-2.31', '60', '48', '48228', '41', '6412', '-869', '0', '3', '0', '0', '']
2025-08-28 15:40:00,562 - INFO - ['16.56', '-3.88', '-2.38', '16.56', '-3.88', '-2.38', '16.56', '-3.88', '-2.38', '59', '49', '48228', '41', '6412', '-879', '0', '3', '0', '0', '']
2025-08-28 15:40:00,622 - INFO - ['16.31', '-3.88', '-2.38', '16.31', '-3.88', '-2.38', '16.31', '-3.88', '-2.38', '59', '49', '48228', '40', '6412', '-889', '0', '3', '0', '0', '']
2025-08-28 15:40:00,727 - INFO - ['15.75', '-3.88', '-2.38', '15.75', '-3.88', '-2.38', '15.75', '-3.88', '-2.38', '61', '49', '48228', '40', '6412', '-912', '0', '3', '0', '0', '']
2025-08-28 15:40:00,786 - INFO - ['15.31', '-3.88', '-2.38', '15.31', '-3.88', '-2.38', '15.31', '-3.88', '-2.38', '94', '50', '48228', '39', '6412', '-928', '0', '3', '0', '0', '']
2025-08-28 15:40:00,846 - INFO - ['15.13', '-3.88', '-2.38', '15.13', '-3.88', '-2.38', '15.13', '-3.88', '-2.38', '103', '50', '48228', '38', '6412', '-940', '0', '3', '0', '0', '']
2025-08-28 15:40:00,948 - INFO - ['14.63', '-3.88', '-2.38', '14.63', '-3.88', '-2.38', '14.63', '-3.88', '-2.38', '117', '50', '48228', '38', '6412', '-961', '0', '3', '0', '0', '']
2025-08-28 15:40:01,010 - INFO - ['14.31', '-3.88', '-2.38', '14.31', '-3.88', '-2.38', '14.31', '-3.88', '-2.38', '115', '51', '48228', '38', '6412', '-963', '0', '3', '0', '0', '']
2025-08-28 15:40:01,113 - INFO - ['13.69', '-3.88', '-2.38', '13.69', '-3.88', '-2.38', '13.69', '-3.88', '-2.38', '113', '51', '48228', '38', '6412', '-968', '0', '3', '0', '0', '']
2025-08-28 15:40:01,171 - INFO - ['13.31', '-3.81', '-2.38', '13.31', '-3.81', '-2.38', '13.31', '-3.81', '-2.38', '113', '52', '48228', '37', '6412', '-969', '0', '3', '0', '0', '']
