2025-08-28 15:37:55,291 - INFO - Camera configuration has been adjusted!
2025-08-28 15:37:55,292 - INFO - Configuration successful!
2025-08-28 15:37:56,814 - INFO - Camera started
2025-08-28 15:38:00,091 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '193', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:38:00,150 - INFO - ['18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '18.31', '-3.94', '-2.19', '25', '196', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:38:00,207 - INFO - ['18.25', '-3.94', '-2.19', '18.25', '-3.94', '-2.19', '18.25', '-3.94', '-2.19', '25', '117', '48228', '39', '328', '150', '0', '3', '0', '0', '']
2025-08-28 15:38:00,313 - INFO - ['18.13', '-3.94', '-2.25', '18.13', '-3.94', '-2.25', '18.13', '-3.94', '-2.25', '24', '125', '48228', '39', '328', '149', '0', '3', '0', '0', '']
2025-08-28 15:38:00,418 - INFO - ['17.94', '-3.88', '-2.25', '17.94', '-3.88', '-2.25', '17.94', '-3.88', '-2.25', '24', '136', '48228', '39', '328', '142', '0', '3', '0', '0', '']
2025-08-28 15:38:00,523 - INFO - ['17.81', '-3.88', '-2.25', '17.81', '-3.88', '-2.25', '17.81', '-3.88', '-2.25', '24', '121', '48228', '39', '328', '135', '0', '3', '0', '0', '']
2025-08-28 15:38:00,629 - INFO - ['17.56', '-3.88', '-2.25', '17.56', '-3.88', '-2.25', '17.56', '-3.88', '-2.25', '24', '117', '48228', '40', '328', '124', '0', '3', '0', '0', '']
2025-08-28 15:38:00,688 - INFO - ['17.44', '-3.88', '-2.25', '17.44', '-3.88', '-2.25', '17.44', '-3.88', '-2.25', '24', '102', '48228', '39', '328', '118', '0', '3', '0', '0', '']
2025-08-28 15:38:00,745 - INFO - ['17.31', '-3.88', '-2.31', '17.31', '-3.88', '-2.31', '17.31', '-3.88', '-2.31', '23', '118', '48228', '40', '328', '111', '0', '3', '0', '0', '']
2025-08-28 15:38:00,803 - INFO - ['17.13', '-3.88', '-2.31', '17.13', '-3.88', '-2.31', '17.13', '-3.88', '-2.31', '23', '115', '48228', '40', '328', '105', '0', '3', '0', '0', '']
